title,genre,rating,votes,popularity,year,runtime,revenue
The Silent Horizon,Action|Adventure,8.7,245000,68.3,2019,148,402000000
Midnight Conspiracy,Thriller|Mystery,7.9,183400,55.1,2017,131,145000000
Whispers of the Forest,Drama|Fantasy,8.2,92000,41.7,2021,122,56000000
Cosmic Drift,Sci-Fi|Drama,7.6,145300,63.9,2018,141,210000000
The Last Cartographer,Drama|Adventure,8.9,312000,74.2,2015,156,178000000
Echoes in the Dark,Horror|Mystery,6.4,78500,38.6,2016,104,42000000
Paper Cranes,Romance|Drama,7.8,110200,35.4,2012,118,48000000
Neon Alley,Action|Crime,7.1,204800,59.8,2020,127,221000000
The Gilded Cage,Drama|Thriller,8.0,167900,47.3,2014,139,89000000
Starlight Boulevard,Comedy|Romance,6.9,124600,44.1,2019,112,96000000
Frozen Echoes,Animation|Fantasy,8.5,421000,86.7,2013,109,1276000000
Rust & Bone:Machines,Action|Sci-Fi,7.3,198500,66.5,2018,135,332000000
The Lighthouse Keeper,Drama|Mystery,8.8,276400,52.9,2016,128,61000000
Bluegrass,Romance|Drama,7.2,65400,29.7,2010,117,25000000
Operation Blackout,Action|Thriller,6.8,151200,71.6,2021,129,254000000
The Quiet Garden,Drama,8.1,138700,36.2,2013,121,33000000
Velocity Zero,Sci-Fi|Action,6.5,204100,78.4,2019,133,410000000
Hollow Crown,Drama|History,8.4,224800,47.8,2011,150,112000000
The Puppeteer,Thriller|Crime,7.7,181300,44.9,2017,126,67000000
Southern Skies,Comedy|Drama,6.7,97800,31.5,2015,114,39000000
Mirage,Drama|Romance,7.9,89000,33.4,2012,124,28000000
The Iron Vow,Fantasy|Action,7.0,248900,72.8,2022,142,458000000
Crimson Tide,Action|Thriller,6.9,179500,58.3,2016,118,142000000
Beneath the Surface,Horror|Thriller,6.1,88200,42.5,2019,98,31000000
The Cartographer's Wife,Drama,8.3,167200,39.8,2014,132,52000000
Wildfire Hearts,Romance|Drama,7.4,124100,37.9,2020,115,66000000
Sandstorm,Action|Adventure,6.6,158700,61.4,2018,125,183000000
The Paper Kingdom,Animation|Comedy,7.7,261500,54.6,2017,101,522000000
Ghosts of Tomorrow,Sci-Fi|Drama,7.5,143800,49.2,2016,129,98000000
Lilies in Bloom,Drama|Romance,8.0,98600,34.7,2011,119,27000000
The Long Road Home,Drama|History,8.6,298400,55.3,2013,146,156000000
Terminal Station,Thriller|Mystery,7.2,132900,43.6,2015,117,54000000
Amber & Ash,Fantasy|Romance,6.8,110500,39.1,2020,127,78000000
The Collector,Drama|Crime,8.2,201300,46.4,2012,137,92000000
Northern Lights,Adventure|Drama,7.9,176800,51.7,2018,124,73000000
Firefly Lane,Romance|Drama,6.5,84500,28.9,2011,113,18000000
The Obsidian Key,Fantasy|Action,6.7,232400,69.3,2021,138,392000000
Last Dance,Comedy|Drama,7.0,156700,41.2,2014,109,85000000
Silent Running,Action|Thriller,6.3,139200,57.6,2017,121,164000000
The Forgotten City,Mystery|Thriller,7.8,167500,44.3,2019,116,61000000
Garden of Words,Romance|Animation,8.1,128600,38.7,2013,108,46000000
Ironclad Hearts,Action|Adventure,6.4,203100,62.7,2020,134,291000000
The Midnight Library,Drama|Fantasy,8.0,215700,49.6,2016,127,105000000
Sirens of the Deep,Animation|Adventure,7.5,189400,58.9,2018,102,689000000
Counterfeit,Crime|Thriller,7.1,144600,40.8,2015,119,47000000
The Sunken Cathedral,Drama|Mystery,8.7,254800,50.1,2012,149,84000000
Aurora Rising,Sci-Fi|Adventure,7.2,267300,77.5,2019,143,467000000
Wild Hearts,Romance|Comedy,6.2,91200,33.6,2022,110,41000000
The Crimson Path,Drama|Adventure,8.3,186500,42.9,2017,133,71000000
Nightfall Express,Thriller|Action,6.6,168200,55.4,2018,116,132000000
Beneath the Willows,Drama|Romance,7.6,98700,32.8,2010,122,21000000
The Alchemist's Apprentice,Fantasy|Adventure,7.4,219900,60.7,2014,131,205000000
Red Horizon,Action|War,7.7,245100,64.2,2011,145,228000000
The Weight of Silence,Drama|Thriller,8.5,231800,43.7,2015,138,88000000
Chasing Daylight,Romance|Drama,7.3,142700,36.9,2016,117,49000000
The Glass Orchid,Mystery|Drama,7.9,128300,40.2,2013,124,38000000
Deadline in Cairo,Thriller|Drama,6.9,153900,45.8,2017,120,52000000
Starlight Falls,Animation|Family,7.6,237200,51.3,2019,99,412000000
The Tenth Muse,Drama|History,8.2,176400,44.6,2014,142,67000000
Signal Lost,Sci-Fi|Thriller,7.1,198700,53.7,2018,127,156000000
The Orchard House,Drama,8.0,115900,35.2,2012,126,33000000
Vandals,Crime|Drama,6.8,138400,39.9,2016,113,41000000
The Celestial Map,Sci-Fi|Adventure,7.8,287600,70.8,2017,136,389000000
A Winter's Tale,Romance|Fantasy,6.6,104800,31.9,2011,115,24000000
Ironbound,Action|Fantasy,6.2,221500,66.1,2022,129,337000000
The Language of Flowers,Drama|Romance,8.4,165200,41.4,2013,120,58000000
Midnight at the Observatory,Mystery|Sci-Fi,7.7,147300,46.7,2015,118,47000000
The Silent Bell,Drama|History,8.6,209400,48.5,2016,144,79000000
Runaway Fire,Action|Crime,6.5,174100,56.9,2019,122,148000000
Golden Apples,Animation|Fantasy,7.9,193600,49.8,2018,103,356000000
The Cartographers,Comedy|Drama,6.7,112800,30.6,2014,108,22000000
Sea of Glass,Drama|Mystery,8.1,187400,45.1,2017,125,63000000
The Wild Ones,Adventure|Drama,7.5,156900,52.3,2013,128,89000000
Last Light on the Mountain,Drama|Adventure,8.3,198800,47.9,2016,137,76000000
